epoch,decade_output_accuracy,decade_output_loss,decade_output_top3_acc,decade_output_top5_acc,loss,style_output_accuracy,style_output_loss,style_output_top3_acc,style_output_top5_acc,val_decade_output_accuracy,val_decade_output_loss,val_decade_output_top3_acc,val_decade_output_top5_acc,val_loss,val_style_output_accuracy,val_style_output_loss,val_style_output_top3_acc,val_style_output_top5_acc
0,0.049909256398677826,0.13951599597930908,0.1437680870294571,0.22656594216823578,0.3865979313850403,0.05780644342303276,0.24708214402198792,0.1640506237745285,0.26151469349861145,0.08326180279254913,0.07300210744142532,0.23656652867794037,0.3660658001899719,0.2420956790447235,0.09384835511445999,0.16909372806549072,0.2540200352668762,0.3924463391304016
1,0.08686908334493637,0.08107171952724457,0.23490460216999054,0.35267573595046997,0.2649161219596863,0.08483347296714783,0.18384432792663574,0.23085789382457733,0.35507920384407043,0.10065808147192001,0.07204774022102356,0.26615163683891296,0.39467811584472656,0.23944804072380066,0.09413447976112366,0.16740038990974426,0.2624892592430115,0.3978254795074463
2,0.10558199137449265,0.07622894644737244,0.2750527262687683,0.39944571256637573,0.24978813529014587,0.10509148240089417,0.17355923354625702,0.2747829556465149,0.4158041775226593,0.12091559171676636,0.06820382177829742,0.3050071597099304,0.43519312143325806,0.2272481769323349,0.13590843975543976,0.1590443253517151,0.3316165804862976,0.4719313383102417
3,0.11806543171405792,0.07315405458211899,0.29756706953048706,0.4273311495780945,0.2398887723684311,0.12093491107225418,0.16673456132411957,0.314048171043396,0.4610045552253723,0.1255507916212082,0.06777618825435638,0.3205150067806244,0.4526466429233551,0.22363556921482086,0.14494992792606354,0.15585939586162567,0.35679543018341064,0.49985694885253906
4,0.12642860412597656,0.07111348956823349,0.31483298540115356,0.4480796456336975,0.23288609087467194,0.13155442476272583,0.16177259385585785,0.341688334941864,0.49335360527038574,0.1175965666770935,0.07110355794429779,0.2884120047092438,0.4064091444015503,0.23630769550800323,0.12137339264154434,0.16520410776138306,0.31095850467681885,0.4588268995285034
5,0.13079413771629333,0.0695168599486351,0.32400548458099365,0.4571295380592346,0.2271455079317093,0.14673566818237305,0.15762870013713837,0.36658164858818054,0.5239613652229309,0.11771101504564285,0.06845265626907349,0.3046638071537018,0.43622317910194397,0.2275814414024353,0.1229756772518158,0.15912878513336182,0.3288698196411133,0.4815450608730316
6,0.13633687794208527,0.06851983070373535,0.33109334111213684,0.4675283133983612,0.22355684638023376,0.1601756066083908,0.15503697097301483,0.3883111774921417,0.5466473698616028,0.14798283576965332,0.06541959941387177,0.3474678099155426,0.48515021800994873,0.21489779651165009,0.1707582324743271,0.14947821199893951,0.4065808355808258,0.5711588263511658
7,0.14033453166484833,0.06778856366872787,0.3384264409542084,0.4781968891620636,0.22040942311286926,0.170378178358078,0.15262101590633392,0.4048413336277008,0.5633246898651123,0.12417739629745483,0.06831131875514984,0.30855506658554077,0.442117303609848,0.22556592524051666,0.14615164697170258,0.15725453197956085,0.35462087392807007,0.5013447999954224
8,0.141217440366745,0.06721334159374237,0.34769704937934875,0.4889390170574188,0.21788528561592102,0.1796242743730545,0.1506720334291458,0.420145183801651,0.5804434418678284,0.15341916680335999,0.064289391040802,0.3629184663295746,0.5039771199226379,0.21033187210559845,0.19628040492534637,0.14604245126247406,0.4428612291812897,0.6042918562889099
9,0.15014469623565674,0.06671632826328278,0.350689172744751,0.49440819025039673,0.21613912284374237,0.18759503960609436,0.14942291378974915,0.43115711212158203,0.5877029299736023,0.15261802077293396,0.06450510025024414,0.3652074337005615,0.5074105858802795,0.20871682465076447,0.2050357609987259,0.14421167969703674,0.4522460699081421,0.60829758644104
10,0.1531858593225479,0.0658857449889183,0.36098983883857727,0.5053955912590027,0.21309278905391693,0.19875410199165344,0.1472068876028061,0.4512189030647278,0.6080099940299988,0.15141630172729492,0.06432084739208221,0.3558225929737091,0.49945637583732605,0.20918676257133484,0.20217452943325043,0.14486590027809143,0.4535622298717499,0.6064663529396057
11,0.15409329533576965,0.06555897742509842,0.363221675157547,0.5115759968757629,0.21156847476959229,0.20169715583324432,0.14600981771945953,0.45462796092033386,0.6135036945343018,0.1394563615322113,0.06703193485736847,0.33453506231307983,0.4722174406051636,0.21998392045497894,0.17344778776168823,0.15295200049877167,0.4064091444015503,0.5468383431434631
12,0.1576249599456787,0.06511315703392029,0.3698435425758362,0.5161867737770081,0.20963537693023682,0.21292981505393982,0.14452219009399414,0.4670378267765045,0.6269190907478333,0.16349069774150848,0.0629032701253891,0.3817453384399414,0.5320743918418884,0.2038523107767105,0.221058651804924,0.14094896614551544,0.4860658049583435,0.6389127373695374
13,0.16326580941677094,0.06459435820579529,0.37705400586128235,0.5242801904678345,0.20793189108371735,0.22060626745224,0.14333753287792206,0.4781968891620636,0.6367537975311279,0.1606867015361786,0.06393001228570938,0.37281832098960876,0.5204005837440491,0.20700569450855255,0.21493561565876007,0.14307570457458496,0.4685550928115845,0.6190558075904846
14,0.16375631093978882,0.06412803381681442,0.3850002586841583,0.5336979627609253,0.20588834583759308,0.22798842191696167,0.14176040887832642,0.49313288927078247,0.6476921439170837,0.1731044352054596,0.0623275525867939,0.3962804079055786,0.547925591468811,0.20049326121807098,0.24286122620105743,0.13816560804843903,0.5071244835853577,0.6580829620361328
15,0.16817089915275574,0.06369148194789886,0.3896600902080536,0.5394368767738342,0.20421870052814484,0.23470839858055115,0.1405271589756012,0.5005395412445068,0.6533084511756897,0.1591988503932953,0.06454984843730927,0.3675536513328552,0.5101001262664795,0.20919163525104523,0.22266094386577606,0.14464181661605835,0.47462087869644165,0.6193991303443909
16,0.16611075401306152,0.06336025893688202,0.39365771412849426,0.5430421233177185,0.20310591161251068,0.2400549352169037,0.1397455632686615,0.5091480016708374,0.6617943048477173,0.14512160420417786,0.06604354828596115,0.3566809594631195,0.5013447999954224,0.21614588797092438,0.1955936998128891,0.15010231733322144,0.43278971314430237,0.5832903981208801
17,0.17045176029205322,0.0630403533577919,0.3992004692554474,0.5512581467628479,0.20176735520362854,0.24704468250274658,0.138727068901062,0.5162603855133057,0.6687595248222351,0.14723891019821167,0.0672338455915451,0.35118740797042847,0.49064376950263977,0.2198571264743805,0.19736766815185547,0.15262329578399658,0.4273533523082733,0.5673819780349731
18,0.1726345270872116,0.06268677115440369,0.4026830792427063,0.5550841093063354,0.2002856284379959,0.253274142742157,0.13759876787662506,0.5207730531692505,0.6737381815910339,0.1700715273618698,0.06204144284129143,0.405264675617218,0.5563948750495911,0.19884727895259857,0.25178825855255127,0.13680587708950043,0.524978518486023,0.6703862547874451
19,0.177932009100914,0.06235099211335182,0.41234609484672546,0.5624417662620544,0.1988646239042282,0.25803208351135254,0.1365136057138443,0.5317604541778564,0.6830578446388245,0.16211731731891632,0.06373423337936401,0.3792274594306946,0.5257224440574646,0.20626498758792877,0.22786837816238403,0.14253079891204834,0.4815450608730316,0.6349070072174072
20,0.1781282126903534,0.061951249837875366,0.41649091243743896,0.5680090188980103,0.19716352224349976,0.26774415373802185,0.13521221280097961,0.5399519205093384,0.6918624639511108,0.1769384890794754,0.062307313084602356,0.4027467668056488,0.5511873960494995,0.20066308975219727,0.25670957565307617,0.13835570216178894,0.514506459236145,0.6615164279937744
21,0.18178251385688782,0.06174934655427933,0.41857555508613586,0.5729631781578064,0.19642895460128784,0.2757149040699005,0.13467952609062195,0.5451512932777405,0.6949771642684937,0.17796853184700012,0.06157165765762329,0.40967094898223877,0.5637768507003784,0.1972653716802597,0.2662661075592041,0.13569365441799164,0.5253791213035583,0.6755937337875366
22,0.18232207000255585,0.06154513731598854,0.41982635855674744,0.5776475071907043,0.1954025775194168,0.27927109599113464,0.13385742902755737,0.5510619282722473,0.6995143890380859,0.17876967787742615,0.06166963651776314,0.4195135831832886,0.5716165900230408,0.19668522477149963,0.2706151604652405,0.1350155621767044,0.538998544216156,0.6822890043258667
23,0.18497081100940704,0.06126081943511963,0.4239956736564636,0.5791680812835693,0.19438685476779938,0.2824103534221649,0.13312605023384094,0.5577573776245117,0.7048609256744385,0.13974249362945557,0.07290347665548325,0.327782541513443,0.45894134044647217,0.2409466952085495,0.17339055240154266,0.16804315149784088,0.38374820351600647,0.5103862881660461
24,0.1881345957517624,0.06111658364534378,0.428091436624527,0.5852749347686768,0.19361622631549835,0.29084712266921997,0.13249948620796204,0.5601608753204346,0.7068474888801575,0.17905579507350922,0.06165073439478874,0.4149356186389923,0.5636623501777649,0.19739916920661926,0.2651788294315338,0.13574843108654022,0.5256080031394958,0.6759370565414429
25,0.1877421885728836,0.060925912111997604,0.4296610653400421,0.5850542187690735,0.19269177317619324,0.2918771803379059,0.1317657083272934,0.5647225975990295,0.7112375497817993,0.17573677003383636,0.06231779232621193,0.4082975685596466,0.5570815205574036,0.19956563413143158,0.26014307141304016,0.13724778592586517,0.5199999809265137,0.6632331609725952
26,0.19137194752693176,0.06058533489704132,0.43606218695640564,0.5919703841209412,0.19132718443870544,0.2945749759674072,0.1307418793439865,0.5680580735206604,0.7161180973052979,0.17676681280136108,0.06176671013236046,0.41058656573295593,0.5620600581169128,0.19792817533016205,0.26466381549835205,0.1361614465713501,0.5254363417625427,0.6736480593681335
27,0.19335851073265076,0.0602891780436039,0.4398881494998932,0.5946927070617676,0.19038835167884827,0.30001962184906006,0.13009920716285706,0.5795605182647705,0.7231323719024658,0.17814019322395325,0.061921775341033936,0.4117310345172882,0.5625178813934326,0.19774605333805084,0.27135908603668213,0.1358243227005005,0.529613733291626,0.6775393486022949
28,0.19465835392475128,0.06013251841068268,0.4416539967060089,0.5969244837760925,0.18959927558898926,0.3016873598098755,0.12946689128875732,0.5817432403564453,0.7250944375991821,0.18386265635490417,0.061328865587711334,0.4276394844055176,0.582660973072052,0.19525817036628723,0.28360515832901,0.13392934203147888,0.5448355078697205,0.6866952776908875
29,0.1937018632888794,0.06017379090189934,0.4424388110637665,0.5963849425315857,0.18937362730503082,0.3083827793598175,0.1291998326778412,0.5851768255233765,0.7263206839561462,0.1791130155324936,0.0619066022336483,0.40864092111587524,0.5606294870376587,0.1981583684682846,0.2679256200790405,0.13625183701515198,0.5276681184768677,0.6689556241035461
30,0.1934075653553009,0.05993395298719406,0.4445725083351135,0.6015843152999878,0.18801790475845337,0.3128954768180847,0.12808392941951752,0.5869181156158447,0.7315691113471985,0.1780257523059845,0.06169205158948898,0.4187696576118469,0.5711015462875366,0.19717605412006378,0.2748497724533081,0.13548393547534943,0.537396252155304,0.6833762526512146
31,0.19877862930297852,0.05958898738026619,0.44918331503868103,0.605827271938324,0.18702547252178192,0.31581398844718933,0.127436563372612,0.5966792702674866,0.7356403470039368,0.18363375961780548,0.06200048699975014,0.42323318123817444,0.5703576803207397,0.19764167070388794,0.2776537835597992,0.13564114272594452,0.5380829572677612,0.6821172833442688
32,0.1981409788131714,0.059503063559532166,0.4508019685745239,0.6104134917259216,0.18649834394454956,0.32174915075302124,0.12699535489082336,0.59461909532547,0.7386569976806641,0.16875536739826202,0.06362299621105194,0.3985121548175812,0.551759660243988,0.20565254986286163,0.24188841879367828,0.1420295238494873,0.4986552298069,0.6468097567558289
33,0.2014273852109909,0.05922440066933632,0.4559277892112732,0.6152204871177673,0.1853797733783722,0.3270711600780487,0.12615539133548737,0.600578784942627,0.7397851347923279,0.18523605167865753,0.061255328357219696,0.4268955588340759,0.57659512758255,0.19492165744304657,0.28783977031707764,0.13366630673408508,0.5436909794807434,0.6883547902107239
34,0.2006916105747223,0.05911308154463768,0.4580615162849426,0.6158826947212219,0.1844828575849533,0.32964634895324707,0.12536969780921936,0.606415867805481,0.747191846370697,0.1767095923423767,0.06347683817148209,0.40686696767807007,0.5519885420799255,0.2045256644487381,0.2566523551940918,0.141048863530159,0.5093562006950378,0.6500142812728882
35,0.20250649750232697,0.05894223600625992,0.4625251293182373,0.620493471622467,0.18415354192256927,0.3333251476287842,0.12521129846572876,0.6107078194618225,0.7492765188217163,0.1724177449941635,0.06335257738828659,0.4014878273010254,0.5511873960494995,0.2041034996509552,0.26123031973838806,0.1407509297132492,0.5120458006858826,0.6530472040176392
36,0.20498356223106384,0.058791302144527435,0.4625496566295624,0.6203708052635193,0.1830601841211319,0.3382057249546051,0.12426895648241043,0.6155148148536682,0.7543777823448181,0.18163089454174042,0.06223004683852196,0.4154506325721741,0.566065788269043,0.19962462782859802,0.26832619309425354,0.13739462196826935,0.528183102607727,0.671015739440918
37,0.20726443827152252,0.05864880234003067,0.46549272537231445,0.625177800655365,0.18246954679489136,0.3425712585449219,0.12382090091705322,0.6165693998336792,0.7549663782119751,0.16394849121570587,0.065333791077137,0.3714449107646942,0.5110729336738586,0.21401704847812653,0.23170243203639984,0.14868324995040894,0.46969956159591675,0.6105865240097046
38,0.20488546788692474,0.058633334934711456,0.4659341871738434,0.6248344779014587,0.18229132890701294,0.34203168749809265,0.12365806847810745,0.6175503730773926,0.7558002471923828,0.18437768518924713,0.06131323054432869,0.4250643849372864,0.5763090252876282,0.19530989229679108,0.2853218913078308,0.1339966207742691,0.5422031283378601,0.6818311810493469
39,0.20684750378131866,0.05853007733821869,0.4662284851074219,0.6240251064300537,0.18206821382045746,0.34212979674339294,0.12353821098804474,0.6188992857933044,0.7539117932319641,0.19010014832019806,0.060873981565237045,0.43330472707748413,0.5883261561393738,0.19336935877799988,0.2902432084083557,0.13249534368515015,0.555593729019165,0.6967095732688904
40,0.20846617221832275,0.05828634276986122,0.468852698802948,0.6291999816894531,0.18079492449760437,0.35005149245262146,0.12250866740942001,0.625300407409668,0.759233832359314,0.18329042196273804,0.06238315626978874,0.42128756642341614,0.5739055871963501,0.20009352266788483,0.27393418550491333,0.13771021366119385,0.5368240475654602,0.6849785447120667
41,0.2098395973443985,0.05814780294895172,0.4716731309890747,0.6321430206298828,0.18008816242218018,0.3529455065727234,0.12194042652845383,0.6270662546157837,0.7601167559623718,0.18741059303283691,0.061110492795705795,0.42964234948158264,0.582660973072052,0.19412285089492798,0.296022891998291,0.13301226496696472,0.5563376545906067,0.6955651044845581
42,0.21131113171577454,0.058039333671331406,0.471893846988678,0.6330505013465881,0.17935419082641602,0.3566978871822357,0.12131483852863312,0.6298621892929077,0.7667876482009888,0.18815450370311737,0.06169063225388527,0.42191702127456665,0.573733925819397,0.196952685713768,0.2860085964202881,0.13526201248168945,0.545522153377533,0.6875536441802979
43,0.20910383760929108,0.05795567110180855,0.4749840497970581,0.634178638458252,0.17895233631134033,0.35674694180488586,0.1209966167807579,0.6301319599151611,0.7656104564666748,0.1835765391588211,0.06206877529621124,0.4199141561985016,0.5692131519317627,0.1987352818250656,0.28200286626815796,0.13666649162769318,0.538998544216156,0.6814878582954407
44,0.21167901158332825,0.05788459628820419,0.47662726044654846,0.6351596713066101,0.1788576990365982,0.36130866408348083,0.12097316235303879,0.6336145401000977,0.767474353313446,0.18197424709796906,0.06245845928788185,0.42231759428977966,0.5749356150627136,0.19957824051380157,0.2840629518032074,0.13711972534656525,0.542832612991333,0.6865236163139343
45,0.21251288056373596,0.05778370425105095,0.48050227761268616,0.6380046010017395,0.17818193137645721,0.3611370027065277,0.12039818614721298,0.6337862610816956,0.7684308886528015,0.1842060089111328,0.06166602298617363,0.42317596077919006,0.5764234662055969,0.19721472263336182,0.2844635248184204,0.13554872572422028,0.5367096066474915,0.6775965690612793
46,0.21565213799476624,0.057636748999357224,0.4810418486595154,0.6397458910942078,0.1775210201740265,0.3659684956073761,0.11988426744937897,0.6382008194923401,0.7736547589302063,0.1724749654531479,0.06268651783466339,0.4078397750854492,0.5577682256698608,0.20208963751792908,0.2686122953891754,0.13940297067165375,0.5217739343643188,0.664492130279541
47,0.21356746554374695,0.057708002626895905,0.47834405303001404,0.6402364373207092,0.17790187895298004,0.36744004487991333,0.12019401043653488,0.6345710754394531,0.7695345282554626,0.18729613721370697,0.06201649829745293,0.4252360463142395,0.572761058807373,0.1990649551153183,0.2840629518032074,0.1370483785867691,0.5413447618484497,0.6848068833351135
48,0.21403345465660095,0.05745792016386986,0.4838622510433197,0.6446509957313538,0.17678302526474,0.3697209060192108,0.11932504177093506,0.6407759785652161,0.7744641304016113,0.18706724047660828,0.06142301484942436,0.42729613184928894,0.5758512020111084,0.1962265819311142,0.283204585313797,0.13480360805988312,0.5437481999397278,0.6883547902107239
49,0.2154068797826767,0.057536736130714417,0.4826360046863556,0.6421003341674805,0.17639349400997162,0.3742581009864807,0.11885679513216019,0.6447736024856567,0.7746603488922119,0.1810014247894287,0.06169263273477554,0.42380544543266296,0.572303295135498,0.19782865047454834,0.27645206451416016,0.13613606989383698,0.5298998355865479,0.6746208667755127
